============== Codigo Intermediario ===============
ALLOC, vet, global, 5
FUN, INT, minloc, 3
ARG, VET, a, minloc
ARG, INT, low, minloc
ARG, INT, high, minloc
LOAD, $t0, a, -
LOAD, $t1, low, -
LOAD, $t2, high, -
ALLOC, i, minloc, -
ALLOC, x, minloc, -
ALLOC, k, minloc, -
LOAD, $t3, k, -
LOAD, $t1, low, -
ASSIGN, $t3, $t1, -
STORE, k, $t3, -
LOAD, $t4, x, -
LOAD, $t1, low, -
LOAD, $t5, a, $t1
ASSIGN, $t4, $t5, -
STORE, x, $t4, -
LOAD, $t6, i, -
LOAD, $t1, low, -
LOADI, $t7, 1, -
ADD, $t1, $t7, $t8
ASSIGN, $t6, $t8, -
STORE, i, $t6, -
LABEL, L1, -, -
LOAD, $t6, i, -
LOAD, $t2, high, -
LT, $t6, $t2, $t9
IFF, $t9, L2, -
LOAD, $t6, i, -
LOAD, $t10, a, $t6
LOAD, $t4, x, -
LT, $t10, $t4, $t11
IFF, $t11, L3, -
LOAD, $t4, x, -
LOAD, $t6, i, -
LOAD, $t12, a, $t6
ASSIGN, $t4, $t12, -
STORE, x, $t4, -
LOAD, $t3, k, -
LOAD, $t6, i, -
ASSIGN, $t3, $t6, -
STORE, k, $t3, -
LABEL, L3, -, -
LOAD, $t6, i, -
LOAD, $t6, i, -
LOADI, $t13, 1, -
ADD, $t6, $t13, $t14
ASSIGN, $t6, $t14, -
STORE, i, $t6, -
GOTO, L1, -, -
LABEL, L2, -, -
LOAD, $t3, k, -
RET, $t3, -, -
GOTO, L0, -, -
LABEL, L0, -, -
END, minloc, -, -
FUN, VOID, sort, 3
ARG, VET, a, sort
ARG, INT, low, sort
ARG, INT, high, sort
LOAD, $t15, a, -
LOAD, $t16, low, -
LOAD, $t17, high, -
ALLOC, i, sort, -
ALLOC, k, sort, -
LOAD, $t18, i, -
LOAD, $t16, low, -
ASSIGN, $t18, $t16, -
STORE, i, $t18, -
LABEL, L6, -, -
LOAD, $t18, i, -
LOAD, $t17, high, -
LOADI, $t19, 1, -
SUB, $t17, $t19, $t20
LT, $t18, $t20, $t21
IFF, $t21, L7, -
ALLOC, t, sort, -
LOAD, $t22, k, -
PARAM, $t23, VET, a
LOAD, $t18, i, -
PARAM, $t18, INT, -
LOAD, $t17, high, -
PARAM, $t17, INT, -
CALL, minloc, 3, $t24
ASSIGN, $t22, $t24, -
STORE, k, $t22, -
LOAD, $t25, t, -
LOAD, $t22, k, -
LOAD, $t5, a, $t22
ASSIGN, $t25, $t5, -
STORE, t, $t25, -
LOAD, $t22, k, -
LOAD, $t7, a, $t22
LOAD, $t18, i, -
LOAD, $t8, a, $t18
ASSIGN, $t7, $t8, -
STORE, a, $t7, $t22
LOAD, $t18, i, -
LOAD, $t9, a, $t18
LOAD, $t25, t, -
ASSIGN, $t9, $t25, -
STORE, a, $t9, $t18
LOAD, $t18, i, -
LOAD, $t18, i, -
LOADI, $t10, 1, -
ADD, $t18, $t10, $t11
ASSIGN, $t18, $t11, -
STORE, i, $t18, -
GOTO, L6, -, -
LABEL, L7, -, -
LABEL, L5, -, -
END, sort, -, -
FUN, VOID, main, 0
ALLOC, i, main, -
LOAD, $t12, i, -
ASSIGN, $t12, $t31, -
STORE, i, $t12, -
LABEL, L9, -, -
LOAD, $t12, i, -
LOADI, $t13, 5, -
LT, $t12, $t13, $t14
IFF, $t14, L10, -
LOAD, $t12, i, -
LOAD, $t19, vet, $t12
CALL, input, 0, $t20
ASSIGN, $t19, $t20, -
STORE, vet, $t19, $t12
LOAD, $t12, i, -
LOAD, $t12, i, -
LOADI, $t21, 1, -
ADD, $t12, $t21, $t23
ASSIGN, $t12, $t23, -
STORE, i, $t12, -
GOTO, L9, -, -
LABEL, L10, -, -
PARAM, $t24, VET, vet
PARAM, $t31, INT, -
LOADI, $t5, 5, -
PARAM, $t5, INT, -
CALL, sort, 3, -
LABEL, L11, -, -
LOADI, $t7, 1, -
IFF, $t7, L12, -
LOAD, $t8, vet, $t31
PARAM, $t8, INT, -
CALL, output, 1, -
LOADI, $t9, 1, -
LOAD, $t10, vet, $t9
PARAM, $t10, INT, -
CALL, output, 1, -
LOADI, $t11, 2, -
LOAD, $t13, vet, $t11
PARAM, $t13, INT, -
CALL, output, 1, -
LOADI, $t14, 3, -
LOAD, $t19, vet, $t14
PARAM, $t19, INT, -
CALL, output, 1, -
LOADI, $t20, 4, -
LOAD, $t21, vet, $t20
PARAM, $t21, INT, -
CALL, output, 1, -
GOTO, L11, -, -
LABEL, L12, -, -
LABEL, L8, -, -
END, main, -, -
HALT, -, -, -
